                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5134,                 7.6038,                 2.9875,                0.00308,                0.26782,                0.06121,                0.03374,                 3.1017,                 7.9756,                 2.5661,              7.145e-05,              7.145e-05,              7.145e-05
                      2,                 3.0471,                 6.8101,                 2.6021,                0.00393,                0.30762,                0.07671,                0.04032,                 2.9399,                 7.8451,                 2.3643,             0.00014163,             0.00014163,             0.00014163
                      3,                 3.0175,                 5.3747,                 2.4608,                0.00425,                0.32569,                0.08745,                0.04998,                 2.7307,                 7.5892,                 2.2867,             0.00019483,             0.00019483,             0.00019483
                      4,                 3.0193,                 4.5075,                 2.4728,                0.00448,                0.33261,                0.10688,                0.06279,                 2.7875,                 7.4102,                 2.2848,             0.00023106,             0.00023106,             0.00023106
                      5,                 2.9394,                 4.0089,                 2.4259,                0.00489,                 0.3437,                0.11178,                0.06449,                 2.7708,                  7.287,                 2.2836,              0.0002503,              0.0002503,              0.0002503
                      6,                 2.8894,                 3.7803,                 2.3934,                0.00513,                0.34473,                0.10834,                0.06133,                 2.8868,                 7.2469,                 2.3696,             0.00025258,             0.00025258,             0.00025258
                      7,                 2.8663,                 3.6202,                 2.3843,                 0.0056,                0.41181,                0.12744,                0.07778,                 2.7728,                 7.0377,                 2.2595,             0.00023787,             0.00023787,             0.00023787
                      8,                 2.7936,                 3.4452,                 2.3385,                0.00666,                0.48614,                0.13864,                 0.0826,                 2.7715,                 6.9193,                 2.2315,             0.00020619,             0.00020619,             0.00020619
                      9,                 2.7405,                 3.3438,                 2.3392,                0.00725,                0.51033,                0.22754,                0.13389,                 2.7701,                 6.7395,                 2.2114,             0.00015753,             0.00015753,             0.00015753
                     10,                  2.698,                 3.1971,                 2.2962,                0.00753,                0.52568,                0.24024,                0.14228,                 2.7938,                 6.6135,                 2.2194,             9.1899e-05,             9.1899e-05,             9.1899e-05
